iter	Passed	Remaining
654	1145	603
655	1146	601
656	1147	598
657	1148	596
658	1151	596
659	1152	593
660	1153	591
661	1154	589
662	1155	587
663	1157	585
664	1158	583
665	1159	581
666	1160	579
667	1164	578
668	1165	576
669	1166	574
670	1167	572
671	1168	570
672	1169	568
673	1170	566
674	1171	564
675	1176	563
676	1177	561
677	1178	559
678	1179	557
679	1180	555
680	1181	553
681	1181	551
682	1182	549
683	1184	547
684	1189	546
685	1190	544
686	1191	542
687	1192	540
688	1193	538
689	1194	536
690	1196	534
691	1202	535
692	1204	533
693	1205	531
694	1206	529
695	1207	527
696	1207	525
697	1211	524
698	1212	522
699	1213	520
700	1214	518
701	1215	515
702	1216	513
703	1217	511
704	1218	509
705	1219	507
706	1220	505
707	1224	505
708	1226	503
709	1226	501
710	1228	499
711	1229	497
712	1230	495
713	1231	493
714	1232	491
715	1238	491
716	1239	489
717	1240	487
718	1240	484
719	1241	482
720	1242	480
721	1243	478
722	1244	476
723	1248	476
724	1249	474
725	1250	472
726	1251	470
727	1252	468
728	1253	465
729	1254	463
730	1255	462
731	1256	460
732	1261	459
733	1262	457
734	1263	455
735	1263	453
736	1264	451
737	1265	449
738	1266	447
739	1267	445
740	1268	443
741	1268	441
742	1272	440
743	1273	438
744	1273	436
745	1274	433
746	1275	431
747	1276	429
748	1276	427
749	1277	425
750	1278	423
751	1279	421
752	1280	419
753	1280	417
754	1285	417
755	1286	415
756	1287	413
757	1287	411
758	1288	409
759	1289	407
760	1290	405
761	1290	403
762	1291	401
763	1292	399
764	1295	397
765	1296	396
766	1297	394
767	1298	392
768	1299	390
769	1300	388
770	1300	386
771	1301	384
772	1302	382
773	1303	380
774	1304	378
775	1304	376
776	1308	375
777	1309	373
778	1310	371
779	1310	369
780	1311	367
781	1312	365
782	1313	364
783	1314	362
784	1315	360
785	1315	358
786	1316	356
787	1319	355
788	1321	353
789	1321	351
790	1322	349
791	1323	347
792	1324	345
793	1325	343
794	1325	341
795	1326	340
796	1327	338
797	1329	336
798	1332	335
799	1333	333
800	1334	331
801	1336	329
802	1337	328
803	1339	326
804	1340	324
805	1345	323
806	1346	321
807	1347	320
808	1348	318
809	1349	316
810	1350	314
811	1351	312
812	1352	311
813	1356	310
814	1357	308
815	1358	306
816	1361	304
817	1362	303
818	1363	301
819	1364	299
820	1365	297
821	1370	296
822	1371	295
823	1373	293
824	1374	291
825	1375	289
826	1376	287
827	1377	286
828	1381	285
829	1383	283
830	1385	281
831	1386	280
832	1387	278
833	1388	276
834	1389	274
835	1392	273
836	1393	271
837	1394	269
838	1395	267
839	1397	266
840	1398	264
841	1399	262
842	1404	261
843	1405	259
844	1407	258
845	1408	256
846	1410	254
847	1411	252
848	1415	251
849	1417	250
850	1418	248
851	1419	246
852	1421	244
853	1422	243
854	1428	242
855	1429	240
856	1431	238
857	1433	237
858	1434	235
859	1439	234
860	1440	232
861	1442	230
862	1445	229
863	1446	227
864	1450	226
865	1451	224
866	1453	222
867	1456	221
868	1458	219
869	1464	218
870	1466	217
871	1467	215
872	1468	213
873	1469	211
874	1471	210
875	1481	209
876	1483	208
877	1487	206
878	1488	204
879	1490	203
880	1491	201
881	1492	199
882	1494	198
883	1500	196
884	1502	195
885	1503	193
886	1504	191
887	1505	189
888	1507	188
889	1515	187
890	1516	185
891	1517	183
892	1518	181
893	1519	180
894	1524	178
895	1525	177
896	1526	175
897	1527	173
898	1528	171
899	1529	169
900	1530	168
901	1531	166
902	1532	164
903	1534	162
904	1535	161
905	1536	159
906	1537	157
907	1538	155
908	1539	154
909	1539	152
910	1540	150
911	1545	149
912	1546	147
913	1547	145
914	1548	143
915	1549	142
916	1550	140
917	1551	138
918	1552	136
919	1556	135
920	1557	133
921	1558	131
